UNITID,GRCOHRT,UGENTERN,PGRCOHRT,RRFTCT,RRFTEX,RRFTIN,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTEX,RRPTIN,RRPTCTA,RET_NMP,RET_PCP,STUFACR
236577,532.0,713.0,75.0,575.0,0.0,0.0,575.0,454.0,79.0,4.0,0.0,0.0,4.0,0.0,0.0,12.0
236595,987.0,1319.0,75.0,989.0,0.0,0.0,989.0,809.0,82.0,5.0,0.0,0.0,5.0,3.0,60.0,10.0
236610,367.0,1537.0,24.0,242.0,0.0,0.0,242.0,130.0,54.0,128.0,0.0,0.0,128.0,51.0,40.0,14.0
236638,598.0,1442.0,41.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,17.0
236656,584.0,1173.0,50.0,401.0,0.0,0.0,401.0,239.0,60.0,138.0,0.0,0.0,138.0,57.0,41.0,14.0
236692,934.0,2341.0,40.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,17.0
236708,844.0,1485.0,57.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14.0
236744,,,,16.0,0.0,0.0,16.0,14.0,88.0,,,,,,,13.0
236753,948.0,1917.0,49.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,15.0
236887,387.0,823.0,47.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,19.0
236896,296.0,402.0,74.0,276.0,0.0,0.0,276.0,213.0,77.0,3.0,0.0,0.0,3.0,2.0,67.0,13.0
236939,3897.0,6115.0,64.0,3872.0,0.0,0.0,3872.0,3117.0,81.0,135.0,0.0,0.0,135.0,74.0,55.0,15.0
236948,7311.0,9999.0,73.0,7166.0,1.0,0.0,7165.0,6707.0,94.0,86.0,0.0,0.0,86.0,66.0,77.0,21.0
236975,463.0,779.0,59.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,13.0
237011,3144.0,4267.0,74.0,2813.0,0.0,0.0,2813.0,2176.0,77.0,61.0,0.0,0.0,61.0,39.0,64.0,17.0
237039,314.0,988.0,32.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,13.0
237057,336.0,373.0,90.0,477.0,0.0,0.0,477.0,421.0,88.0,,,,,,,9.0
237066,453.0,529.0,86.0,532.0,0.0,0.0,532.0,414.0,78.0,2.0,0.0,0.0,2.0,1.0,50.0,10.0
237109,545.0,871.0,63.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,15.0
237118,192.0,274.0,70.0,262.0,0.0,0.0,262.0,149.0,57.0,0.0,0.0,0.0,0.0,0.0,,14.0
237127,,,,37.0,0.0,0.0,37.0,27.0,73.0,,,,,,,20.0
237136,31.0,70.0,44.0,17.0,0.0,0.0,17.0,13.0,76.0,1.0,0.0,0.0,1.0,1.0,100.0,9.0
237145,,,,8.0,0.0,0.0,8.0,8.0,100.0,,,,,,,5.0
237172,,,,22.0,0.0,0.0,22.0,19.0,86.0,0.0,0.0,0.0,0.0,0.0,,7.0
237181,176.0,200.0,88.0,166.0,0.0,0.0,166.0,124.0,75.0,,,,,,,12.0
237215,256.0,418.0,61.0,218.0,0.0,0.0,218.0,126.0,58.0,14.0,0.0,0.0,14.0,1.0,7.0,14.0
237242,,,,43.0,0.0,0.0,43.0,5.0,12.0,4.0,0.0,0.0,4.0,4.0,100.0,6.0
237303,,,,22.0,1.0,0.0,21.0,16.0,76.0,,,,,,,7.0
237312,236.0,540.0,44.0,220.0,0.0,0.0,220.0,156.0,71.0,26.0,0.0,0.0,26.0,8.0,31.0,16.0
