UNITID,LEXP100K,LCOLELYN,LPBOOKS,LEBOOKS,LEDATAB,LPMEDIA,LEMEDIA,LPSERIA,LESERIA,LPCLLCT,LECLLCT,LTCLLCT,LPCRCLT,LECRCLT,LTCRCLT,LILLDYN,LILLDPR,LILLDRC,LILSYN,LSTOTAL,LSLIBRN,LSOPROF,LSOPAID,LSSTAST,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTOT,LSWMSOM
164775,1,2,41186.0,539617.0,127.0,787.0,39160.0,528.0,47343.0,42501.0,626247.0,668748.0,891.0,3913.0,4804.0,1,138.0,94.0,1.0,5.33,2.0,1.0,2.28,0.05,0.0,350298.0,2,0.0,52623.0,67488.0,0.0,120111.0,0.0,43272.0,43272.0,513681.0,513681.0
164872,1,2,43613.0,8915.0,202.0,339.0,15992.0,6318.0,354062.0,50270.0,379171.0,429441.0,1650.0,6798.0,8448.0,1,2.0,405.0,1.0,12.0,6.0,1.0,5.0,0.0,0.0,524998.0,1,110749.0,20000.0,22000.0,104500.0,146500.0,22690.0,34780.0,57470.0,839717.0,728968.0
164915,2,2,7000.0,100.0,30.0,50.0,0.0,15.0,90.0,7065.0,220.0,7285.0,100.0,120.0,220.0,1,3.0,80.0,1.0,1.0,1.0,0.0,0.0,0.0,,,-2,,,,,,,,,,
164924,1,2,1597727.0,1311059.0,932.0,299835.0,71543.0,46014.0,129462.0,1943576.0,1512996.0,3456572.0,89639.0,712823.0,802462.0,1,20535.0,28069.0,1.0,178.0,87.0,0.0,57.0,34.0,7.0,10814443.0,1,3633614.0,2464811.0,12573918.0,1365.0,15040094.0,221060.0,1365981.0,1587041.0,31075192.0,27441578.0
164988,1,2,1545010.0,5397453.0,597.0,181599.0,194184.0,346833.0,756459.0,2073442.0,6348693.0,8422135.0,34547.0,327285.0,361832.0,1,1760.0,953.0,1.0,215.0,76.0,17.0,76.0,46.0,12.0,11468294.0,1,736559.0,1725116.0,11234221.0,220113.0,13179450.0,6503.0,1580135.0,1586638.0,26970941.0,26234382.0
165015,1,2,1001558.0,1752651.0,533.0,152917.0,259878.0,11443.0,168135.0,1165918.0,2181197.0,3347115.0,31876.0,828207.0,860083.0,1,5879.0,8958.0,1.0,76.0,28.0,16.0,11.0,21.0,0.0,4353347.0,1,983559.0,437811.0,3575796.0,335757.0,4349364.0,82345.0,621519.0,703864.0,10390134.0,9406575.0
165024,1,2,238226.0,56438.0,226.0,5727.0,0.0,1329.0,59472.0,245282.0,116136.0,361418.0,9264.0,22601.0,31865.0,1,3485.0,8497.0,1.0,25.0,8.0,1.0,11.0,5.0,0.0,1344081.0,1,551073.0,31689.0,767718.0,149615.0,949022.0,1385.0,37366.0,38751.0,2882927.0,2331854.0
165033,1,2,54015.0,65405.0,91.0,5865.0,123660.0,356.0,45081.0,60236.0,234237.0,294473.0,1540.0,31518.0,33058.0,1,645.0,139.0,1.0,14.03,6.5,1.0,6.5,0.03,3.0,430021.0,2,0.0,20107.0,16815.0,70843.0,107765.0,0.0,96747.0,96747.0,634533.0,634533.0
165112,1,2,21098.0,232498.0,119.0,370.0,67255.0,11.0,25.0,21479.0,299897.0,321376.0,2793.0,386932.0,389725.0,1,654.0,237.0,1.0,8.0,4.0,0.0,4.0,0.0,0.0,258840.0,2,0.0,0.0,0.0,320000.0,320000.0,0.0,598000.0,598000.0,1176840.0,1176840.0
165167,1,1,,7.0,84.0,,2.0,,5.0,,98.0,98.0,,134861.0,134861.0,2,,,1.0,3.0,3.0,0.0,0.0,0.0,0.0,102161.0,1,28156.0,0.0,365166.0,0.0,365166.0,0.0,0.0,0.0,495483.0,467327.0
